osmid,y,x,street_count,highway,ref,junction,railway,geometry
30558246,41.4016883,2.1425419,4,,,,,POINT (2.1425419 41.4016883)
30558251,41.4023973,2.1440398,4,,,,,POINT (2.1440398 41.4023973)
30558252,41.4029902,2.1445313,3,,,,,POINT (2.1445313 41.4029902)
30558253,41.4033454,2.1448223,3,,,,,POINT (2.1448223 41.4033454)
30558254,41.4035495,2.1449884,3,,,,,POINT (2.1449884 41.4035495)
30558255,41.4038792,2.1452622,4,,,,,POINT (2.1452622 41.4038792)
30558256,41.4043219,2.1457768,3,,,,,POINT (2.1457768 41.4043219)
30558257,41.404441,2.145594,3,,,,,POINT (2.145594 41.404441)
30558258,41.4049409,2.1464282,4,,,,,POINT (2.1464282 41.4049409)
30558261,41.4053605,2.1473043,3,,,,,POINT (2.1473043 41.4053605)
30558292,41.4056003,2.1455922,5,,,,,POINT (2.1455922 41.4056003)
30558293,41.4042774,2.1474139,4,,,,,POINT (2.1474139 41.4042774)
30558390,41.4040474,2.1492951,3,,,,,POINT (2.1492951 41.4040474)
30558391,41.4033332,2.1499205,3,,,,,POINT (2.1499205 41.4033332)
30558393,41.3983613,2.1438959,4,,,,,POINT (2.1438959 41.3983613)
30558394,41.3988246,2.1445262,4,,,,,POINT (2.1445262 41.3988246)
30558395,41.3994388,2.1453839,3,,,,,POINT (2.1453839 41.3994388)
30558414,41.3965326,2.1429049,4,,,,,POINT (2.1429049 41.3965326)
30558429,41.3920125,2.142787,3,,,,,POINT (2.142787 41.3920125)
30558433,41.3906964,2.1423209,4,,,,,POINT (2.1423209 41.3906964)
30558435,41.3894155,2.1419942,3,,,,,POINT (2.1419942 41.3894155)
30558439,41.3884221,2.1417161,3,,,,,POINT (2.1417161 41.3884221)
30558444,41.4023228,2.1466205,3,,,,,POINT (2.1466205 41.4023228)
30558445,41.4025817,2.1469269,4,,,,,POINT (2.1469269 41.4025817)
30558446,41.4031188,2.1475631,4,,,,,POINT (2.1475631 41.4031188)
30558447,41.4041854,2.1488279,3,,,,,POINT (2.1488279 41.4041854)
30558449,41.4095531,2.1709243,3,,,,,POINT (2.1709243 41.4095531)
30558451,41.4101974,2.1887395,3,,,,,POINT (2.1887395 41.4101974)
30558452,41.4027715,2.1654421,4,,,,,POINT (2.1654421 41.4027715)
30558453,41.4030988,2.1658597,4,,,,,POINT (2.1658597 41.4030988)
30558454,41.4039474,2.1669651,4,,,,,POINT (2.1669651 41.4039474)
30558456,41.4129181,2.1787661,4,,,,,POINT (2.1787661 41.4129181)
30558458,41.4138252,2.1798745,4,,,,,POINT (2.1798745 41.4138252)
30558459,41.4145473,2.1808468,4,,,,,POINT (2.1808468 41.4145473)
30558461,41.4154948,2.1821571,3,,,,,POINT (2.1821571 41.4154948)
30558462,41.4158258,2.1825985,3,,,,,POINT (2.1825985 41.4158258)
30558464,41.4171353,2.1844293,4,,,,,POINT (2.1844293 41.4171353)
30558465,41.4181089,2.1853949,3,,,,,POINT (2.1853949 41.4181089)
30558475,41.3895788,2.1398141,3,,,,,POINT (2.1398141 41.3895788)
30558476,41.3890419,2.1406717,3,,,,,POINT (2.1406717 41.3890419)
30558477,41.3881368,2.1421831,3,,,,,POINT (2.1421831 41.3881368)
30558511,41.3882137,2.1396927,4,,,,,POINT (2.1396927 41.3882137)
30558512,41.3872954,2.1386493,4,traffic_signals,,,,POINT (2.1386493 41.3872954)
30558545,41.3785254,2.1296237,3,,,,,POINT (2.1296237 41.3785254)
30558546,41.3794222,2.1320253,3,,,,,POINT (2.1320253 41.3794222)
30558547,41.3797373,2.1328876,4,,,,,POINT (2.1328876 41.3797373)
30558551,41.381236,2.1368333,4,,,,,POINT (2.1368333 41.381236)
30558555,41.3779417,2.1298226,3,,,,,POINT (2.1298226 41.3779417)
30558556,41.3788287,2.1322,3,,,,,POINT (2.1322 41.3788287)
30558557,41.3769983,2.1301864,4,,,,,POINT (2.1301864 41.3769983)
30558558,41.3773691,2.1318216,4,,,,,POINT (2.1318216 41.3773691)
30558559,41.3777028,2.1332388,4,,,,,POINT (2.1332388 41.3777028)
30558560,41.3778272,2.1337396,4,,,,,POINT (2.1337396 41.3778272)
30558562,41.3779335,2.1341952,4,,,,,POINT (2.1341952 41.3779335)
30558567,41.3759482,2.1305817,3,,,,,POINT (2.1305817 41.3759482)
30558573,41.3755366,2.1291751,4,,,,,POINT (2.1291751 41.3755366)
30558576,41.3736155,2.1303199,3,,,,,POINT (2.1303199 41.3736155)
30558578,41.3725879,2.1311051,4,,,,,POINT (2.1311051 41.3725879)
30617336,41.4146736,2.1569266,3,,,,,POINT (2.1569266 41.4146736)
30617337,41.4142512,2.157452,3,,,,,POINT (2.157452 41.4142512)
30617347,41.4123339,2.1591886,3,,,,,POINT (2.1591886 41.4123339)
30617355,41.4109244,2.1570199,3,,,,,POINT (2.1570199 41.4109244)
30617356,41.4103015,2.1575154,4,,,,,POINT (2.1575154 41.4103015)
30617357,41.4084357,2.1589367,3,,,,,POINT (2.1589367 41.4084357)
30617381,41.405151,2.1546895,4,,,,,POINT (2.1546895 41.405151)
30617384,41.4060212,2.1560015,4,,,,,POINT (2.1560015 41.4060212)
